sheet_row,sku,product_type,product_subtype,product_name,body_material_primary,finish_name,colour_family,mount_type,parts_list,cable_type,cable_material,img_url
28,PHHT1PBRWH,Lighting Accessory,Pendant Lamp Holder,1m Transparent PVC Cable Pendant Light Holder,Metal,Painetd White,White,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/756.jpg
29,PHHT1PBRGR,Lighting Accessory,Pendant Lamp Holder,1m Transparent PVC Cable Pendant Light Holder,Metal,Glossy painted,Green,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/753.jpg
30,PHHT1PBRPI,Lighting Accessory,Pendant Lamp Holder,1m Transparent PVC Cable Pendant Light Holder,Metal,Painted Pink,Pink,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/751.jpg
31,PHHT1PBRBM,Lighting Accessory,Pendant Lamp Holder,1m Transparent PVC Cable Pendant Light Holder,Metal,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/743.jpg
32,PHHT2PBRBM,Lighting Accessory,Pendant Lamp Holder,1m Transparent PVC Cable Pendant Light Holder,Metal,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/744.jpg
33,PHFMHT1BRBM,Lighting Accessory,Pendant Lamp Holder,1m Transparent PVC Cable Pendant Light Holder,Metal,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/33007.jpg
34,PHFMHT2BRBM,Lighting Accessory,Pendant Lamp Holder,1m Transparent PVC Cable Pendant Light Holder,Metal,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/33006.jpg
35,PHFMHT4BRBM,Lighting Accessory,Pendant Lamp Holder,1m Transparent PVC Cable Pendant Light Holder,Metal,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/33005.jpg
36,PHSH1PBRBM,Lighting Accessory,Pendant Lamp Holder,1m Transparent PVC Cable Pendant Light Holder,,Matte Black,Black,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/869.jpg
37,PHXSH1PBRWH,Lighting Accessory,Pendant Lamp Holder,1m PVC Cable Pendant Light Holder,Metal,Painetd White,White,Pendant,"Lamp Holder, Shade Ring, Lock Nut, Cable",Round,PVC,https://sin1.contabostorage.com/4ad62276cb6d4a83bfb1b8a91b839703:newom/newom/newom/img/product_images/40741.jpg
